Order,ID,Identifier,Nome,Segmento,Obrigatorio,Status,Navegacao_1,Nav1_OK,Navegacao_2,Nav2_OK,Navegacao_3,Nav3_OK,O_que_falta,Bugs
1,3,CARTOES,Cartão PF,PF,Não,OK,1. Widget,Sim,2. Em cada cartão,Sim,3. Solicitar novo cartão,Sim,,
2,11,MEUS_BENEFICIOS,Benefícios PF,PF,Não,OK,1. Widget,Sim,2. Ver detalhes do benefício,Sim,3. Contratar benefício,Não,,
3,5,MINHAS_FINANCAS,Minhas Finanças (PF),PF,Não,OK,,,,,,,,
4,14,AGRO_BB,Agro BB,Agro,Não,OK,,,,,,,,
5,8,SOLUCOES_PARA_EMPRESAS,Ecossistema PJ,PJ,Não,OK,,,,,,,,
6,16,MINHAS_FINANCAS_JOVEM,Minhas Finanças Jovem,Compartilhado,Não,A verificar,,,,,,,Falta direcionar modularizada,
7,4,SEGUROS,Seguros PF,PF,Não,A verificar,,,,,,,Refatorar com protótipo v3,
8,15,PREVISAO_TEMPO,Clima,Agro,Não,A verificar,,,,,,,Tirar mock do back (quando subir correção front),Corrigir navegação
9,17,COTACOES,Cotações Agro,Agro,Não,A verificar,,,,,,,,Problema navegação
10,24,DDA_PJ,DDA PJ,PJ,Não,A verificar,,,,,,,Testar se está ok,
11,6,SHOPPING_BB,Shopping BB (PF e BB Cash),Compartilhado,Não,Problema,,,,,,,BBCash é a mesma coisa?,
12,25,DDA_PF,DDA PF,PF,Não,Problema,,,,,,,Versão Alfa,
13,9,CARTOES_PJ,Cartão PJ,PJ,Não,Problema,,,,,,,Versão Alfa,
14,26,CREDITOPJ,Crédito Empresa,PJ,Não,Problema,,,,,,,Versão Alfa,
15,27,PAGAR_COBRAR,Pagar e Cobrar PJ,PJ,Não,Problema,,,,,,,Versão Alfa,
16,21,INVESTIMENTOS,Investimentos PF,PF,Não,Problema,,,,,,,Versão Alfa,
17,20,PAINEL_PJ,Resumo Financeiro PJ,PJ,Não,Problema,,,,,,,Versão Alfa,
18,22,PIX,Pix PF,PF,Não,Problema,,,,,,,Versão Alfa,
19,28,PIX_PJ,Pix PJ,PJ,Não,Problema,,,,,,,Versão Alfa,
100,1,CENTRAIS,Acessos Rápidos,Todos,Sim,OK,,,,,,,,
110,2,ATIVIDADES_RECENTES,Atividades Recentes,Todos,Não,OK,,,,,,,,
160,7,AGENDA_BOLETOS,Agenda de Boletos,PJ,Não,OK,,,,,,,,
190,10,FALECOM_BB,Fale Com BB,Compartilhado,Não,OK,,,,,,,,
220,12,SEGURANCA,Segurança,Home Acessibilidade,Não,OK,,,,,,,,
240,13,FACILIDADES,Facilidades,BBCash,Não,OK,,,,,,,,
280,18,GERENTES,Gerentes,Todos,Não,OK,,,,,,,,
290,19,EMPRESTIMOS,Empréstimos,Todos,Não,OK,,,,,,,,
400,23,PERSONALIZAR,Personalizar,Todos,Não,OK,,,,,,,,
